Antecedent,Consequent,Support,Confidence,Lift,Leverage,Conviction
Funnel Cloud,Hail,0.03636651232348796,0.6444954128440367,1.099217638691323,0.0032825159942585364,1.1636363636363636
"Flash Flood, Hail",Thunderstorm Wind,0.0877886744701044,0.7392831193993703,1.098155047190512,0.007846707536837194,1.2534490178944413
"Flash Flood, Lightning",Thunderstorm Wind,0.020217997756751316,0.7342036553524804,1.090609847071988,0.0016797479774819171,1.2294951549116848
"Flash Flood, Lightning, Thunderstorm Wind",Hail,0.012898679934428116,0.6379800853485065,1.0881054371733418,0.0010444243689600816,1.1426942229198862
"Hail, Heavy Rain",Thunderstorm Wind,0.02286388082022375,0.7317073170731707,1.0869017054832202,0.0018280496085514748,1.2180552759483478
"Funnel Cloud, Hail",Thunderstorm Wind,0.026257513445112308,0.7220245156188217,1.0725185591499509,0.0017754070786515745,1.175626399805957
"Funnel Cloud, Tornado",Thunderstorm Wind,0.01634983175634868,0.7150943396226415,1.0622242516669032,0.0009577601380518948,1.1470299238861035
"Funnel Cloud, Tornado","Hail, Thunderstorm Wind",0.012395386960398033,0.5421383647798742,1.0613830174691594,0.0007168630379458772,1.0684781447593847
Tornado,"Hail, Thunderstorm Wind",0.08219493255874148,0.5188345284560225,1.015759431825926,0.0012752482482663863,1.0167295441767479
Funnel Cloud,Thunderstorm Wind,0.03829340542406028,0.678644240570846,1.008080096073517,0.00030693433588632746,1.0169269053023051
